timestamp,source_ip,destination_ip,protocol,action,threat_level,description
2024-06-01 00:00:01,192.168.1.10,10.0.0.5,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:02,192.168.1.11,10.0.0.6,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:03,192.168.1.12,10.0.0.7,TCP,BLOCK,High,Port scan detected
2024-06-01 00:00:04,192.168.1.13,10.0.0.8,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:05,192.168.1.14,10.0.0.9,TCP,BLOCK,Medium,Suspicious login attempt
2024-06-01 00:00:06,192.168.1.15,10.0.0.10,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:07,192.168.1.16,10.0.0.11,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:08,192.168.1.17,10.0.0.12,ICMP,BLOCK,High,ICMP flood detected
2024-06-01 00:00:09,192.168.1.18,10.0.0.13,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:10,192.168.1.19,10.0.0.14,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:00:11,192.168.1.20,10.0.0.15,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:12,192.168.1.21,10.0.0.16,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:13,192.168.1.22,10.0.0.17,TCP,BLOCK,High,Brute force attack
2024-06-01 00:00:14,192.168.1.23,10.0.0.18,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:15,192.168.1.24,10.0.0.19,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:16,192.168.1.25,10.0.0.20,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:00:17,192.168.1.26,10.0.0.21,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:18,192.168.1.27,10.0.0.22,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:00:19,192.168.1.28,10.0.0.23,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:20,192.168.1.29,10.0.0.24,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:21,192.168.1.30,10.0.0.25,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:00:22,192.168.1.31,10.0.0.26,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:23,192.168.1.32,10.0.0.27,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:24,192.168.1.33,10.0.0.28,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:00:25,192.168.1.34,10.0.0.29,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:26,192.168.1.35,10.0.0.30,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:00:27,192.168.1.36,10.0.0.31,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:28,192.168.1.37,10.0.0.32,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:29,192.168.1.38,10.0.0.33,TCP,BLOCK,High,Port scan detected
2024-06-01 00:00:30,192.168.1.39,10.0.0.34,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:31,192.168.1.40,10.0.0.35,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:32,192.168.1.41,10.0.0.36,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:00:33,192.168.1.42,10.0.0.37,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:34,192.168.1.43,10.0.0.38,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:00:35,192.168.1.44,10.0.0.39,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:36,192.168.1.45,10.0.0.40,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:37,192.168.1.46,10.0.0.41,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:00:38,192.168.1.47,10.0.0.42,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:39,192.168.1.48,10.0.0.43,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:40,192.168.1.49,10.0.0.44,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:00:41,192.168.1.50,10.0.0.45,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:42,192.168.1.51,10.0.0.46,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:00:43,192.168.1.52,10.0.0.47,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:44,192.168.1.53,10.0.0.48,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:45,192.168.1.54,10.0.0.49,TCP,BLOCK,High,Brute force attack
2024-06-01 00:00:46,192.168.1.55,10.0.0.50,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:47,192.168.1.56,10.0.0.51,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:48,192.168.1.57,10.0.0.52,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:00:49,192.168.1.58,10.0.0.53,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:50,192.168.1.59,10.0.0.54,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:00:51,192.168.1.60,10.0.0.55,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:52,192.168.1.61,10.0.0.56,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:00:53,192.168.1.62,10.0.0.57,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:00:54,192.168.1.63,10.0.0.58,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:00:55,192.168.1.64,10.0.0.59,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:56,192.168.1.65,10.0.0.60,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:00:57,192.168.1.66,10.0.0.61,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:00:58,192.168.1.67,10.0.0.62,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:00:59,192.168.1.68,10.0.0.63,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:00,192.168.1.69,10.0.0.64,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:01,192.168.1.70,10.0.0.65,TCP,BLOCK,High,Port scan detected
2024-06-01 00:01:02,192.168.1.71,10.0.0.66,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:03,192.168.1.72,10.0.0.67,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:04,192.168.1.73,10.0.0.68,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:01:05,192.168.1.74,10.0.0.69,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:06,192.168.1.75,10.0.0.70,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:01:07,192.168.1.76,10.0.0.71,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:08,192.168.1.77,10.0.0.72,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:09,192.168.1.78,10.0.0.73,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:01:10,192.168.1.79,10.0.0.74,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:11,192.168.1.80,10.0.0.75,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:12,192.168.1.81,10.0.0.76,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:01:13,192.168.1.82,10.0.0.77,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:14,192.168.1.83,10.0.0.78,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:01:15,192.168.1.84,10.0.0.79,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:16,192.168.1.85,10.0.0.80,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:17,192.168.1.86,10.0.0.81,TCP,BLOCK,High,Brute force attack
2024-06-01 00:01:18,192.168.1.87,10.0.0.82,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:19,192.168.1.88,10.0.0.83,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:20,192.168.1.89,10.0.0.84,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:01:21,192.168.1.90,10.0.0.85,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:22,192.168.1.91,10.0.0.86,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:01:23,192.168.1.92,10.0.0.87,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:24,192.168.1.93,10.0.0.88,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:25,192.168.1.94,10.0.0.89,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:01:26,192.168.1.95,10.0.0.90,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:27,192.168.1.96,10.0.0.91,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:28,192.168.1.97,10.0.0.92,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:01:29,192.168.1.98,10.0.0.93,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:30,192.168.1.99,10.0.0.94,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:01:31,192.168.1.100,10.0.0.95,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:32,192.168.1.101,10.0.0.96,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:33,192.168.1.102,10.0.0.97,TCP,BLOCK,High,Port scan detected
2024-06-01 00:01:34,192.168.1.103,10.0.0.98,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:35,192.168.1.104,10.0.0.99,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:36,192.168.1.105,10.0.0.100,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:01:37,192.168.1.106,10.0.0.101,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:38,192.168.1.107,10.0.0.102,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:01:39,192.168.1.108,10.0.0.103,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:40,192.168.1.109,10.0.0.104,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:41,192.168.1.110,10.0.0.105,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:01:42,192.168.1.111,10.0.0.106,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:43,192.168.1.112,10.0.0.107,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:44,192.168.1.113,10.0.0.108,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:01:45,192.168.1.114,10.0.0.109,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:46,192.168.1.115,10.0.0.110,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:01:47,192.168.1.116,10.0.0.111,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:48,192.168.1.117,10.0.0.112,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:49,192.168.1.118,10.0.0.113,TCP,BLOCK,High,Brute force attack
2024-06-01 00:01:50,192.168.1.119,10.0.0.114,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:51,192.168.1.120,10.0.0.115,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:52,192.168.1.121,10.0.0.116,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:01:53,192.168.1.122,10.0.0.117,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:54,192.168.1.123,10.0.0.118,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:01:55,192.168.1.124,10.0.0.119,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:01:56,192.168.1.125,10.0.0.120,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:01:57,192.168.1.126,10.0.0.121,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:01:58,192.168.1.127,10.0.0.122,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:01:59,192.168.1.128,10.0.0.123,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:00,192.168.1.129,10.0.0.124,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:01,192.168.1.130,10.0.0.125,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:02,192.168.1.131,10.0.0.126,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:03,192.168.1.132,10.0.0.127,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:04,192.168.1.133,10.0.0.128,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:05,192.168.1.134,10.0.0.129,TCP,BLOCK,High,Port scan detected
2024-06-01 00:02:06,192.168.1.135,10.0.0.130,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:07,192.168.1.136,10.0.0.131,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:08,192.168.1.137,10.0.0.132,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:09,192.168.1.138,10.0.0.133,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:10,192.168.1.139,10.0.0.134,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:11,192.168.1.140,10.0.0.135,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:12,192.168.1.141,10.0.0.136,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:13,192.168.1.142,10.0.0.137,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:02:14,192.168.1.143,10.0.0.138,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:15,192.168.1.144,10.0.0.139,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:16,192.168.1.145,10.0.0.140,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:17,192.168.1.146,10.0.0.141,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:18,192.168.1.147,10.0.0.142,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:19,192.168.1.148,10.0.0.143,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:20,192.168.1.149,10.0.0.144,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:21,192.168.1.150,10.0.0.145,TCP,BLOCK,High,Brute force attack
2024-06-01 00:02:22,192.168.1.151,10.0.0.146,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:23,192.168.1.152,10.0.0.147,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:24,192.168.1.153,10.0.0.148,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:25,192.168.1.154,10.0.0.149,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:26,192.168.1.155,10.0.0.150,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:27,192.168.1.156,10.0.0.151,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:28,192.168.1.157,10.0.0.152,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:29,192.168.1.158,10.0.0.153,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:02:30,192.168.1.159,10.0.0.154,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:31,192.168.1.160,10.0.0.155,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:32,192.168.1.161,10.0.0.156,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:33,192.168.1.162,10.0.0.157,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:34,192.168.1.163,10.0.0.158,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:35,192.168.1.164,10.0.0.159,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:36,192.168.1.165,10.0.0.160,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:37,192.168.1.166,10.0.0.161,TCP,BLOCK,High,Port scan detected
2024-06-01 00:02:38,192.168.1.167,10.0.0.162,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:39,192.168.1.168,10.0.0.163,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:40,192.168.1.169,10.0.0.164,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:41,192.168.1.170,10.0.0.165,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:42,192.168.1.171,10.0.0.166,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:43,192.168.1.172,10.0.0.167,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:44,192.168.1.173,10.0.0.168,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:45,192.168.1.174,10.0.0.169,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:02:46,192.168.1.175,10.0.0.170,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:47,192.168.1.176,10.0.0.171,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:48,192.168.1.177,10.0.0.172,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:49,192.168.1.178,10.0.0.173,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:50,192.168.1.179,10.0.0.174,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:51,192.168.1.180,10.0.0.175,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:52,192.168.1.181,10.0.0.176,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:53,192.168.1.182,10.0.0.177,TCP,BLOCK,High,Brute force attack
2024-06-01 00:02:54,192.168.1.183,10.0.0.178,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:55,192.168.1.184,10.0.0.179,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:56,192.168.1.185,10.0.0.180,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:57,192.168.1.186,10.0.0.181,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:58,192.168.1.187,10.0.0.182,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:59,192.168.1.188,10.0.0.183,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:00,192.168.1.189,10.0.0.184,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:01,192.168.1.190,10.0.0.185,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:02,192.168.1.191,10.0.0.186,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:03,192.168.1.192,10.0.0.187,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:04,192.168.1.193,10.0.0.188,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:05,192.168.1.194,10.0.0.189,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:06,192.168.1.195,10.0.0.190,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:07,192.168.1.196,10.0.0.191,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:08,192.168.1.197,10.0.0.192,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:09,192.168.1.198,10.0.0.193,TCP,BLOCK,High,Port scan detected
2024-06-01 00:03:10,192.168.1.199,10.0.0.194,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:11,192.168.1.200,10.0.0.195,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:12,192.168.1.201,10.0.0.196,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:13,192.168.1.202,10.0.0.197,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:14,192.168.1.203,10.0.0.198,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:15,192.168.1.204,10.0.0.199,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:16,192.168.1.205,10.0.0.200,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:17,192.168.1.206,10.0.0.201,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:18,192.168.1.207,10.0.0.202,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:19,192.168.1.208,10.0.0.203,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:20,192.168.1.209,10.0.0.204,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:21,192.168.1.210,10.0.0.205,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:22,192.168.1.211,10.0.0.206,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:23,192.168.1.212,10.0.0.207,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:24,192.168.1.213,10.0.0.208,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:25,192.168.1.214,10.0.0.209,TCP,BLOCK,High,Brute force attack
2024-06-01 00:03:26,192.168.1.215,10.0.0.210,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:27,192.168.1.216,10.0.0.211,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:28,192.168.1.217,10.0.0.212,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:29,192.168.1.218,10.0.0.213,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:30,192.168.1.219,10.0.0.214,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:31,192.168.1.220,10.0.0.215,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:32,192.168.1.221,10.0.0.216,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:33,192.168.1.222,10.0.0.217,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:34,192.168.1.223,10.0.0.218,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:35,192.168.1.224,10.0.0.219,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:36,192.168.1.225,10.0.0.220,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:37,192.168.1.226,10.0.0.221,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:38,192.168.1.227,10.0.0.222,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:39,192.168.1.228,10.0.0.223,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:40,192.168.1.229,10.0.0.224,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:41,192.168.1.230,10.0.0.225,TCP,BLOCK,High,Port scan detected
2024-06-01 00:03:42,192.168.1.231,10.0.0.226,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:43,192.168.1.232,10.0.0.227,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:44,192.168.1.233,10.0.0.228,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:45,192.168.1.234,10.0.0.229,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:46,192.168.1.235,10.0.0.230,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:47,192.168.1.236,10.0.0.231,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:48,192.168.1.237,10.0.0.232,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:49,192.168.1.238,10.0.0.233,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:50,192.168.1.239,10.0.0.234,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:51,192.168.1.240,10.0.0.235,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:52,192.168.1.241,10.0.0.236,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:53,192.168.1.242,10.0.0.237,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:54,192.168.1.243,10.0.0.238,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:55,192.168.1.244,10.0.0.239,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:56,192.168.1.245,10.0.0.240,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:57,192.168.1.246,10.0.0.241,TCP,BLOCK,High,Brute force attack
2024-06-01 00:03:58,192.168.1.247,10.0.0.242,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:59,192.168.1.248,10.0.0.243,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:04:00,192.168.1.249,10.0.0.244,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:04:01,192.168.1.250,10.0.0.245,TCP,ALLOW,Low,Normal traffic